rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
198,frame_0185.jpg,74.0,0.3897,0.5225,0.375,0.08,12,3,False,False
199,frame_0085.jpg,34.0,0.3894,0.4049,0.25,0.56,11,2,False,False
200,frame_0282.jpg,112.8,0.3893,0.4367,0.25,0.48,13,2,False,False
201,frame_0019.jpg,7.6,0.3869,0.2988,0.125,1.0,9,1,False,False
202,frame_0129.jpg,51.6,0.386,0.42,0.0,0.88,14,0,False,False
203,frame_0303.jpg,121.2,0.3854,0.5518,0.125,0.36,10,1,False,False
204,frame_0024.jpg,9.6,0.3839,0.2928,0.125,1.0,7,1,False,False
205,frame_0278.jpg,111.2,0.3837,0.5644,0.125,0.32,13,1,False,False
206,frame_0117.jpg,46.8,0.3828,0.4555,0.25,0.4,11,2,False,False
207,frame_0333.jpg,133.2,0.3825,0.583,0.25,0.08,13,2,False,False
208,frame_0393.jpg,157.2,0.3823,0.5236,0.375,0.04,14,3,False,False
209,frame_0397.jpg,158.8,0.3821,0.5342,0.25,0.2,13,2,False,False
210,frame_0092.jpg,36.8,0.3808,0.4246,0.375,0.28,14,3,False,False
211,frame_0314.jpg,125.6,0.378,0.6491,0.125,0.08,10,1,False,False
212,frame_0116.jpg,46.4,0.3724,0.4507,0.25,0.36,15,2,False,False
213,frame_0193.jpg,77.2,0.3722,0.4234,0.375,0.24,8,3,False,False
214,frame_0010.jpg,4.0,0.3717,0.2684,0.125,1.0,8,1,False,False
215,frame_0213.jpg,85.2,0.3711,0.4433,0.125,0.56,9,1,False,False
216,frame_0202.jpg,80.8,0.37,0.4249,0.125,0.6,6,1,False,False
217,frame_0097.jpg,38.8,0.3689,0.6308,0.125,0.08,10,1,False,False
218,frame_0217.jpg,86.8,0.3617,0.4884,0.125,0.4,8,1,False,False
219,frame_0008.jpg,3.2,0.3599,0.3199,0.0,1.0,10,0,False,False
220,frame_0281.jpg,112.4,0.3574,0.3888,0.25,0.44,11,2,False,False
221,frame_0233.jpg,93.2,0.3547,0.5385,0.125,0.24,18,1,False,False
222,frame_0100.jpg,40.0,0.3502,0.5343,0.25,0.04,11,2,False,False
223,frame_0212.jpg,84.8,0.3497,0.3844,0.125,0.6,6,1,False,False
224,frame_0376.jpg,150.4,0.3471,0.5552,0.125,0.16,13,1,False,False
225,frame_0327.jpg,130.8,0.347,0.528,0.25,0.04,13,2,False,False
226,frame_0200.jpg,80.0,0.3443,0.3305,0.25,0.52,5,2,False,False
227,frame_0195.jpg,78.0,0.3376,0.4722,0.125,0.32,8,1,False,False
228,frame_0272.jpg,108.8,0.3364,0.4907,0.25,0.08,12,2,False,False
229,frame_0214.jpg,85.6,0.3333,0.3836,0.125,0.52,9,1,False,False
230,frame_0104.jpg,41.6,0.3312,0.4644,0.25,0.12,10,2,False,False
231,frame_0271.jpg,108.4,0.3153,0.4646,0.25,0.04,11,2,False,False
232,frame_0225.jpg,90.0,0.3148,0.4476,0.25,0.08,14,2,False,False
233,frame_0093.jpg,37.2,0.3145,0.458,0.125,0.24,11,1,False,False
234,frame_0398.jpg,159.2,0.3131,0.3802,0.25,0.24,11,2,False,False
235,frame_0219.jpg,87.6,0.3034,0.3289,0.25,0.32,9,2,False,False
236,frame_0102.jpg,40.8,0.3023,0.3316,0.375,0.12,11,3,False,False
237,frame_0317.jpg,126.8,0.2973,0.4396,0.125,0.2,9,1,False,False
238,frame_0204.jpg,81.6,0.2932,0.2393,0.125,0.68,6,1,False,False
239,frame_0196.jpg,78.4,0.2868,0.3546,0.125,0.36,6,1,False,False
240,frame_0220.jpg,88.0,0.2858,0.3845,0.125,0.28,11,1,False,False
241,frame_0216.jpg,86.4,0.2717,0.2925,0.125,0.44,7,1,False,False
242,frame_0205.jpg,82.0,0.2684,0.2488,0.0,0.72,6,0,False,False
243,frame_0199.jpg,79.6,0.2637,0.3354,0.0,0.48,3,0,False,False
244,frame_0197.jpg,78.8,0.2604,0.2857,0.125,0.4,4,1,False,False
245,frame_0091.jpg,36.4,0.2588,0.3895,0.0,0.32,10,0,False,False
246,frame_0267.jpg,106.8,0.258,0.393,0.125,0.12,9,1,False,False
247,frame_0228.jpg,91.2,0.255,0.419,0.125,0.04,10,1,False,False
248,frame_0218.jpg,87.2,0.2531,0.3623,0.0,0.36,10,0,False,False
249,frame_0269.jpg,107.6,0.2324,0.3738,0.125,0.04,10,1,False,False
250,frame_0313.jpg,125.2,0.2312,0.3714,0.125,0.04,10,1,False,False
251,frame_0275.jpg,110.0,0.2283,0.3767,0.0,0.2,15,0,False,False
252,frame_0112.jpg,44.8,0.2228,0.2906,0.125,0.2,12,1,False,False
253,frame_0183.jpg,73.2,0.2198,0.3485,0.125,0.04,6,1,False,False
254,frame_0224.jpg,89.6,0.191,0.2589,0.125,0.12,10,1,False,False
255,frame_0198.jpg,79.2,0.19,0.2039,0.0,0.44,6,0,False,False
256,frame_0101.jpg,40.4,0.1539,0.2758,0.0,0.08,13,0,False,False
